SEED_1,TEAM_1,SEED_2,TEAM_2,Team1W_Prob
1.0,Connecticut,1.0,Houston,0.36
1.0,Connecticut,1.0,North Carolina,0.778
1.0,Connecticut,1.0,Purdue,0.547
1.0,Connecticut,2.0,Arizona,0.69
1.0,Connecticut,2.0,Iowa St.,0.611
1.0,Connecticut,2.0,Marquette,0.737
1.0,Connecticut,2.0,Tennessee,0.739
1.0,Connecticut,3.0,Baylor,0.792
1.0,Connecticut,3.0,Creighton,0.851
1.0,Connecticut,3.0,Illinois,0.783
1.0,Connecticut,3.0,Kentucky,0.853
1.0,Connecticut,4.0,Alabama,0.788
1.0,Connecticut,4.0,Auburn,0.658
1.0,Connecticut,4.0,Duke,0.79
1.0,Connecticut,4.0,Kansas,0.842
1.0,Connecticut,5.0,Gonzaga,0.809
1.0,Connecticut,5.0,Saint Mary's,0.825
1.0,Connecticut,5.0,San Diego St.,0.861
1.0,Connecticut,5.0,Wisconsin,0.822
1.0,Connecticut,6.0,BYU,0.806
1.0,Connecticut,6.0,Clemson,0.901
1.0,Connecticut,6.0,South Carolina,0.873
1.0,Connecticut,6.0,Texas Tech,0.849
1.0,Connecticut,7.0,Dayton,0.879
1.0,Connecticut,7.0,Florida,0.828
1.0,Connecticut,7.0,Texas,0.841
1.0,Connecticut,7.0,Washington St.,0.888
1.0,Connecticut,8.0,Florida Atlantic,0.885
1.0,Connecticut,8.0,Mississippi St.,0.867
1.0,Connecticut,8.0,Nebraska,0.854
1.0,Connecticut,8.0,Utah St.,0.889
1.0,Connecticut,9.0,Michigan St.,0.835
1.0,Connecticut,9.0,Northwestern,0.86
1.0,Connecticut,9.0,TCU,0.84
1.0,Connecticut,9.0,Texas A&M,0.86
1.0,Connecticut,10.0,Boise St.,0.877
1.0,Connecticut,10.0,Colorado,0.856
1.0,Connecticut,10.0,Colorado St.,0.881
1.0,Connecticut,10.0,Drake,0.89
1.0,Connecticut,10.0,Nevada,0.855
1.0,Connecticut,10.0,Virginia,0.891
1.0,Connecticut,11.0,Duquesne,0.931
1.0,Connecticut,11.0,New Mexico,0.792
1.0,Connecticut,11.0,North Carolina St.,0.905
1.0,Connecticut,11.0,Oregon,0.885
1.0,Connecticut,12.0,Grand Canyon,0.888
